Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 2	Serie N.º 2	Serie N.º 2	Serie N.º 3	Serie N.º 3	Serie N.º 3	Serie N.º 4	Serie N.º 4	Serie N.º 4	Serie N.º 5	Serie N.º 5	Serie N.º 5	Serie N.º 6	Serie N.º 6	Serie N.º 6	Serie N.º 7	Serie N.º 7	Serie N.º 7	Serie N.º 8	Serie N.º 8	Serie N.º 8	Serie N.º 9	Serie N.º 9	Serie N.º 9
Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)
40,800	-0,34	0,005	163,200	-0,24	8,987E-4	163,200	-0,24	8,713E-4																		
40,825	-0,32	-0,004	163,300	-0,24	8,778E-4	163,300	-0,24	9,084E-4																		
40,850	-0,34	0,005	163,400	-0,24	8,898E-4	163,400	-0,23	8,861E-4																		
40,875	-0,34	-0,004	163,500	-0,25	8,861E-4	163,500	-0,24	8,837E-4																		
40,900	-0,32	0,005	163,600	-0,24	9,098E-4	163,600	-0,24	8,448E-4																		
40,925	-0,34	-0,004	163,700	-0,24	9,253E-4	163,700	-0,24	9,098E-4																		
40,950	-0,33	0,005	163,800	-0,24	9,302E-4	163,800	-0,24	9,231E-4																		
40,975	-0,32	-0,004	163,900	-0,24	9,381E-4	163,900	-0,24	9,200E-4																		
41,000	-0,34	0,005	164,000	-0,24	9,252E-4	164,000	-0,24	8,979E-4																		
41,025	-0,33	-0,004	164,100	-0,24	9,535E-4	164,100	-0,24	9,344E-4																		
41,050	-0,33	0,005	164,200	-0,24	9,454E-4	164,200	-0,24	9,054E-4																		
41,075	-0,34	-0,004	164,300	-0,24	8,875E-4	164,300	-0,24	9,031E-4																		
41,100	-0,32	0,005	164,400	-0,24	9,037E-4	164,400	-0,24	9,012E-4																		
41,125	-0,33	-0,004	164,500	-0,23	9,011E-4	164,500	-0,24	9,192E-4																		
41,150	-0,34	0,005	164,600	-0,28	9,153E-4	164,600	-0,24	9,099E-4																		
41,175	-0,32	-0,004	164,700	-0,20	8,850E-4	164,700	-0,24	9,376E-4																		
41,200	-0,33	0,005	164,800	-0,27	8,943E-4	164,800	-0,24	8,756E-4																		
41,225	-0,34	-0,004	164,900	-0,23	8,740E-4	164,900	-0,24	9,095E-4																		
41,250	-0,32	0,005	165,000	-0,23	8,644E-4	165,000	-0,24	9,106E-4																		
41,275	-0,34	-0,004	165,100	-0,28	8,435E-4	165,100	-0,23	9,324E-4																		
41,300	-0,33	0,005	165,200	-0,21	8,551E-4	165,200	-0,24	8,662E-4																		
41,325	-0,32	-0,004	165,300	-0,26	8,293E-4	165,300	-0,24	8,879E-4																		
41,350	-0,34	0,005	165,400	-0,23	8,228E-4	165,400	-0,23	8,955E-4																		
41,375	-0,33	-0,004	165,500	-0,26	9,258E-4	165,500	-0,24	9,139E-4																		
41,400	-0,32	0,005	165,600	-0,23	8,671E-4	165,600	-0,24	8,969E-4																		
41,425	-0,34	-0,004	165,700	-0,26	8,605E-4	165,700	-0,24	9,410E-4																		
41,450	-0,33	0,005	165,800	-0,23	8,734E-4	165,800	-0,23	8,978E-4																		
41,475	-0,32	-0,004	165,900	-0,24	8,716E-4	165,900	-0,24	8,892E-4																		
41,500	-0,33	0,005	166,000	-0,23	8,606E-4	166,000	-0,24	8,453E-4																		
41,525	-0,33	-0,004	166,100	-0,24	8,605E-4	166,100	-0,24	8,629E-4																		
41,550	-0,33	0,005	166,200	-0,26	8,577E-4	166,200	-0,23	8,724E-4																		
41,575	-0,35	-0,004	166,300	-0,24	8,619E-4	166,300	-0,24	9,058E-4																		
41,600	-0,32	0,005	166,400	-0,24	8,751E-4	166,400	-0,23	9,236E-4																		
41,625	-0,33	-0,004	166,500	-0,24	8,457E-4	166,500	-0,24	9,075E-4																		
41,650	-0,33	0,005	166,600	-0,24	8,553E-4	166,600	-0,24	9,702E-4																		
41,675	-0,33	-0,004	166,700	-0,24	8,914E-4	166,700	-0,24	9,602E-4																		
41,700	-0,33	0,005	166,800	-0,24	8,439E-4	166,800	-0,24	8,943E-4																		
41,725	-0,33	-0,004	166,900	-0,25	8,666E-4	166,900	-0,24	9,567E-4																		
41,750	-0,32	0,005	167,000	-0,24	8,616E-4	167,000	-0,23	9,271E-4																		
41,775	-0,34	-0,004	167,100	-0,24	8,762E-4	167,100	-0,24	8,925E-4																		
41,800	-0,32	0,005	167,200	-0,24	8,635E-4	167,200	-0,24	9,059E-4																		
41,825	-0,33	-0,004	167,300	-0,24	8,793E-4	167,300	-0,24	8,943E-4																		
41,850	-0,34	0,005	167,400	-0,25	8,962E-4	167,400	-0,24	9,165E-4																		
41,875	-0,32	-0,004	167,500	-0,24	8,929E-4	167,500	-0,24	9,199E-4																		
41,900	-0,33	0,005	167,600	-0,24	8,462E-4	167,600	-0,24	9,081E-4																		
41,925	-0,34	-0,005	167,700	-0,24	8,776E-4	167,700	-0,24	9,005E-4																		
41,950	-0,31	0,006	167,800	-0,25	8,545E-4	167,800	-0,24	8,975E-4																		
41,975	-0,34	-0,004	167,900	-0,24	8,707E-4	167,900	-0,23	9,080E-4																		
42,000	-0,33	0,006	168,000	-0,25	8,898E-4	168,000	-0,23	8,920E-4																		
42,025	-0,32	-0,004	168,100	-0,24	8,807E-4	168,100	-0,24	9,753E-4																		
42,050	-0,35	0,006	168,200	-0,24	8,844E-4	168,200	-0,24	8,933E-4																		
42,075	-0,33	-0,005	168,300	-0,24	8,636E-4	168,300	-0,24	9,188E-4																		
42,100	-0,32	0,006	168,400	-0,24	8,698E-4	168,400	-0,23	9,095E-4																		
42,125	-0,34	-0,005	168,500	-0,25	8,447E-4	168,500	-0,24	8,787E-4																		
42,150	-0,34	0,006	168,600	-0,24	8,326E-4	168,600	-0,23	9,056E-4																		
42,175	-0,32	-0,005	168,700	-0,24	8,846E-4	168,700	-0,24	8,911E-4																		
42,200	-0,35	0,006	168,800	-0,24	8,977E-4	168,800	-0,24	9,381E-4																		
42,225	-0,33	-0,005	168,900	-0,25	8,600E-4	168,900	-0,24	8,916E-4																		
42,250	-0,32	0,006	169,000	-0,24	8,784E-4	169,000	-0,24	9,102E-4																		
42,275	-0,35	-0,005	169,100	-0,24	9,001E-4	169,100	-0,24	8,650E-4																		
42,300	-0,33	0,006	169,200	-0,24	8,947E-4	169,200	-0,24	8,929E-4																		
42,325	-0,32	-0,005	169,300	-0,25	8,779E-4	169,300	-0,24	9,167E-4																		
42,350	-0,34	0,006	169,400	-0,24	8,589E-4	169,400	-0,24	8,888E-4																		
42,375	-0,33	-0,005	169,500	-0,25	8,970E-4	169,500	-0,24	8,936E-4																		
42,400	-0,33	0,006	169,600	-0,24	9,039E-4	169,600	-0,23	8,893E-4																		
42,425	-0,34	-0,005	169,700	-0,25	9,381E-4	169,700	-0,24	9,104E-4																		
42,450	-0,32	0,006	169,800	-0,24	9,025E-4	169,800	-0,24	8,923E-4																		
42,475	-0,33	-0,005	169,900	-0,24	8,802E-4	169,900	-0,24	9,022E-4																		
42,500	-0,34	0,006	170,000	-0,24	9,182E-4	170,000	-0,24	9,282E-4																		
42,525	-0,33	-0,005	170,100	-0,25	8,683E-4	170,100	-0,24	9,156E-4																		
42,550	-0,33	0,006	170,200	-0,24	9,121E-4	170,200	-0,24	9,198E-4																		
42,575	-0,34	-0,005	170,300	-0,24	9,171E-4	170,300	-0,23	9,335E-4																		
42,600	-0,32	0,006	170,400	-0,24	8,843E-4	170,400	-0,24	9,280E-4																		
42,625	-0,33	-0,005	170,500	-0,24	9,165E-4	170,500	-0,24	8,951E-4																		
42,650	-0,34	0,006	170,600	-0,24	9,091E-4	170,600	-0,24	9,630E-4																		
42,675	-0,32	-0,005	170,700	-0,25	9,032E-4	170,700	-0,23	9,012E-4																		
42,700	-0,33	0,006	170,800	-0,23	9,435E-4	170,800	-0,24	9,156E-4																		
42,725	-0,33	-0,005	170,900	-0,24	9,634E-4	170,900	-0,23	8,411E-4																		
42,750	-0,33	0,006	171,000	-0,24	9,062E-4	171,000	-0,24	8,809E-4																		
42,775	-0,33	-0,005	171,100	-0,24	9,130E-4	171,100	-0,23	8,864E-4																		
42,800	-0,34	0,006	171,200	-0,25	9,094E-4	171,200	-0,25	8,688E-4																		
42,825	-0,32	-0,005	171,300	-0,24	9,291E-4	171,300	-0,23	8,809E-4																		
42,850	-0,34	0,007	171,400	-0,24	9,539E-4	171,400	-0,25	8,490E-4																		
42,875	-0,34	-0,005	171,500	-0,24	9,360E-4	171,500	-0,23	8,427E-4																		
42,900	-0,31	0,007	171,600	-0,24	9,513E-4	171,600	-0,24	8,927E-4																		
42,925	-0,34	-0,005	171,700	-0,24	8,916E-4	171,700	-0,23	8,596E-4																		
42,950	-0,34	0,007	171,800	-0,24	9,111E-4	171,800	-0,24	8,500E-4																		
42,975	-0,33	-0,005	171,900	-0,25	9,746E-4	171,900	-0,24	8,466E-4																		
43,000	-0,34	0,007	172,000	-0,24	9,127E-4	172,000	-0,24	8,207E-4																		
43,025	-0,33	-0,005	172,100	-0,24	9,279E-4	172,100	-0,24	8,636E-4																		
43,050	-0,31	0,006	172,200	-0,25	8,965E-4	172,200	-0,24	8,634E-4																		
43,075	-0,35	-0,005	172,300	-0,24	9,144E-4	172,300	-0,24	8,882E-4																		
43,100	-0,34	0,007	172,400	-0,24	9,012E-4	172,400	-0,23	8,789E-4																		
43,125	-0,33	-0,005	172,500	-0,24	9,092E-4	172,500	-0,24	8,521E-4																		
43,150	-0,34	0,007	172,600	-0,25	9,210E-4	172,600	-0,24	8,495E-4																		
43,175	-0,32	-0,006	172,700	-0,24	8,898E-4	172,700	-0,24	8,853E-4																		
43,200	-0,32	0,007	172,800	-0,24	8,977E-4	172,800	-0,24	8,513E-4																		
43,225	-0,34	-0,006	172,900	-0,24	9,084E-4	172,900	-0,23	8,174E-4																		
43,250	-0,33	0,007	173,000	-0,25	8,972E-4	173,000	-0,24	8,645E-4																		
43,275	-0,33	-0,006	173,100	-0,24	8,689E-4	173,100	-0,24	8,704E-4																		
43,300	-0,33	0,007	173,200	-0,24	8,630E-4	173,200	-0,24	8,248E-4																		
43,325	-0,33	-0,006	173,300	-0,24	8,921E-4	173,300	-0,23	8,762E-4																		
43,350	-0,33	0,007	173,400	-0,24	8,707E-4	173,400	-0,24	8,652E-4																		
43,375	-0,34	-0,006	173,500	-0,24	8,955E-4	173,500	-0,23	8,580E-4																		
43,400	-0,33	0,007	173,600	-0,25	8,539E-4	173,600	-0,23	8,824E-4																		
43,425	-0,34	-0,006	173,700	-0,24	9,092E-4	173,700	-0,24	8,994E-4																		
43,450	-0,32	0,007	173,800	-0,24	8,928E-4	173,800	-0,24	8,901E-4																		
43,475	-0,33	-0,006	173,900	-0,24	9,159E-4	173,900	-0,24	8,833E-4																		
43,500	-0,33	0,007	174,000	-0,24	9,587E-4	174,000	-0,23	9,121E-4																		
43,525	-0,33	-0,006	174,100	-0,24	9,325E-4	174,100	-0,24	8,602E-4																		
43,550	-0,34	0,007	174,200	-0,25	9,209E-4	174,200	-0,24	8,544E-4																		
43,575	-0,33	-0,005	174,300	-0,24	8,794E-4	174,300	-0,23	8,398E-4																		
43,600	-0,33	0,008	174,400	-0,24	9,071E-4	174,400	-0,24	8,928E-4																		
43,625	-0,33	-0,005	174,500	-0,24	9,423E-4	174,500	-0,24	8,845E-4																		
43,650	-0,31	0,007	174,600	-0,26	9,275E-4	174,600	-0,24	8,578E-4																		
43,675	-0,32	-0,006	174,700	-0,24	8,983E-4	174,700	-0,23	8,402E-4																		
43,700	-0,35	0,007	174,800	-0,23	9,332E-4	174,800	-0,23	8,724E-4																		
43,725	-0,33	-0,006	174,900	-0,25	9,268E-4	174,900	-0,24	8,759E-4																		
43,750	-0,33	0,007	175,000	-0,25	9,283E-4	175,000	-0,23	9,132E-4																		
43,775	-0,34	-0,006	175,100	-0,24	9,862E-4	175,100	-0,24	8,988E-4																		
43,800	-0,31	0,007	175,200	-0,24	9,596E-4	175,200	-0,24	9,116E-4																		
43,825	-0,33	-0,006	175,300	-0,25	8,888E-4	175,300	-0,24	9,191E-4																		
43,850	-0,36	0,007	175,400	-0,25	9,049E-4	175,400	-0,23	9,069E-4																		
43,875	-0,32	-0,006	175,500	-0,23	8,789E-4	175,500	-0,24	8,993E-4																		
43,900	-0,32	0,007	175,600	-0,24	8,898E-4	175,600	-0,24	9,216E-4																		
43,925	-0,34	-0,006	175,700	-0,25	9,187E-4	175,700	-0,23	8,973E-4																		
43,950	-0,31	0,007	175,800	-0,24	8,940E-4	175,800	-0,24	8,875E-4																		
43,975	-0,35	-0,006	175,900	-0,23	9,115E-4	175,900	-0,23	8,632E-4																		
44,000	-0,34	0,008	176,000	-0,24	9,104E-4	176,000	-0,24	8,500E-4																		
44,025	-0,31	-0,006	176,100	-0,25	8,900E-4	176,100	-0,24	8,324E-4																		
44,050	-0,33	0,008	176,200	-0,24	8,663E-4	176,200	-0,24	8,638E-4																		
44,075	-0,33	-0,006	176,300	-0,24	8,740E-4	176,300	-0,23	8,242E-4																		
44,100	-0,32	0,007	176,400	-0,25	8,938E-4	176,400	-0,24	8,458E-4																		
44,125	-0,35	-0,006	176,500	-0,24	9,265E-4	176,500	-0,23	8,251E-4																		
44,150	-0,33	0,007	176,600	-0,24	9,175E-4	176,600	-0,23	8,419E-4																		
44,175	-0,31	-0,006	176,700	-0,24	9,225E-4	176,700	-0,24	8,311E-4																		
44,200	-0,32	0,008	176,800	-0,25	9,108E-4	176,800	-0,24	8,357E-4																		
44,225	-0,35	-0,006	176,900	-0,25	9,186E-4	176,900	-0,24	8,101E-4																		
44,250	-0,32	0,008	177,000	-0,24	8,893E-4	177,000	-0,23	8,677E-4																		
44,275	-0,38	-0,006	177,100	-0,24	9,030E-4	177,100	-0,24	8,463E-4																		
44,300	-0,30	0,008	177,200	-0,25	9,159E-4	177,200	-0,23	8,815E-4																		
44,325	-0,32	-0,005	177,300	-0,24	8,840E-4	177,300	-0,24	8,832E-4																		
44,350	-0,35	0,010	177,400	-0,24	9,238E-4	177,400	-0,24	8,981E-4																		
44,375	-0,32	-0,006	177,500	-0,24	8,998E-4	177,500	-0,24	8,724E-4																		
44,400	-0,34	0,008	177,600	-0,24	9,395E-4	177,600	-0,23	8,893E-4																		
44,425	-0,36	-0,007	177,700	-0,25	9,357E-4	177,700	-0,24	8,721E-4																		
44,450	-0,27	0,008	177,800	-0,23	8,820E-4	177,800	-0,23	8,685E-4																		
44,475	-0,37	-0,007	177,900	-0,24	9,399E-4	177,900	-0,24	8,668E-4																		
44,500	-0,35	0,008	178,000	-0,25	8,904E-4	178,000	-0,24	8,650E-4																		
44,525	-0,28	-0,007	178,100	-0,23	9,111E-4	178,100	-0,23	9,012E-4																		
44,550	-0,36	0,008	178,200	-0,25	8,781E-4	178,200	-0,23	8,922E-4																		
44,575	-0,35	-0,007	178,300	-0,24	9,028E-4	178,300	-0,24	9,001E-4																		
44,600	-0,28	0,008	178,400	-0,25	9,309E-4	178,400	-0,23	9,011E-4																		
44,625	-0,38	-0,008	178,500	-0,23	9,064E-4	178,500	-0,24	9,066E-4																		
44,650	-0,33	0,008	178,600	-0,25	8,865E-4	178,600	-0,23	8,994E-4																		
44,675	-0,30	-0,008	178,700	-0,24	9,424E-4	178,700	-0,24	8,690E-4																		
44,700	-0,39	0,009	178,800	-0,25	9,034E-4	178,800	-0,23	8,842E-4																		
44,725	-0,30	-0,007	178,900	-0,22	9,397E-4	178,900	-0,23	8,801E-4																		
44,750	-0,31	0,009	179,000	-0,25	9,474E-4	179,000	-0,24	8,752E-4																		
44,775	-0,37	-0,007	179,100	-0,25	8,939E-4	179,100	-0,24	8,860E-4																		
44,800	-0,30	0,009	179,200	-0,22	9,015E-4	179,200	-0,23	8,657E-4																		
44,825	-0,35	-0,007	179,300	-0,25	9,130E-4	179,300	-0,23	8,751E-4																		
44,850	-0,36	0,009	179,400	-0,24	9,480E-4	179,400	-0,24	8,938E-4																		
44,875	-0,29	-0,007	179,500	-0,25	9,114E-4	179,500	-0,24	9,062E-4																		
44,900	-0,33	0,009	179,600	-0,23	9,115E-4	179,600	-0,24	8,986E-4																		
44,925	-0,36	-0,007	179,700	-0,25	9,376E-4	179,700	-0,23	9,269E-4																		
44,950	-0,31	0,009	179,800	-0,24	9,075E-4	179,800	-0,23	9,402E-4																		
44,975	-0,36	-0,006	179,900	-0,25	9,296E-4	179,900	-0,24	9,147E-4																		
45,000	-0,33	0,010	180,000	-0,24	8,864E-4	180,000	-0,23	8,881E-4																		
45,025	-0,29	-0,006	180,100	-0,22	8,669E-4	180,100	-0,24	8,883E-4																		
45,050	-0,35	0,009	180,200	-0,27	9,191E-4	180,200	-0,23	8,949E-4																		
45,075	-0,33	-0,007	180,300	-0,23	9,324E-4	180,300	-0,23	8,691E-4																		
45,100	-0,34	0,009	180,400	-0,26	9,142E-4	180,400	-0,23	8,339E-4																		
45,125	-0,36	-0,007	180,500	-0,23	9,392E-4	180,500	-0,23	8,864E-4																		
45,150	-0,30	0,003	180,600	-0,24	9,215E-4	180,600	-0,24	9,130E-4																		
45,175	-0,32	-0,003	180,700	-0,25	9,457E-4	180,700	-0,24	8,853E-4																		
45,200	-0,33	0,013	180,800	-0,23	9,109E-4	180,800	-0,24	8,737E-4																		
45,225	-0,31	-0,006	180,900	-0,26	9,126E-4	180,900	-0,23	8,855E-4																		
45,250	-0,37	0,009	181,000	-0,23	8,885E-4	181,000	-0,23	8,826E-4																		
45,275	-0,34	-0,007	181,100	-0,25	8,999E-4	181,100	-0,23	8,815E-4																		
45,300	-0,31	0,009	181,200	-0,24	8,973E-4	181,200	-0,25	8,782E-4																		
45,325	-0,35	-0,007	181,300	-0,25	8,950E-4	181,300	-0,23	8,912E-4																		
45,350	-0,31	0,008	181,400	-0,23	9,337E-4	181,400	-0,23	8,989E-4																		
45,375	-0,33	-0,008	181,500	-0,25	9,000E-4	181,500	-0,23	9,017E-4																		
45,400	-0,37	0,008	181,600	-0,25	9,380E-4	181,600	-0,24	8,849E-4																		
45,425	-0,30	-0,008	181,700	-0,24	9,744E-4	181,700	-0,23	9,449E-4																		
45,450	-0,33	0,007	181,800	-0,24	9,177E-4	181,800	-0,23	9,376E-4																		
45,475	-0,35	-0,009	181,900	-0,24	9,185E-4	181,900	-0,26	9,188E-4																		
45,500	-0,29	0,006	182,000	-0,24	9,661E-4	182,000	-0,22	8,982E-4																		
45,525	-0,35	-0,009	182,100	-0,24	9,613E-4	182,100	-0,25	8,566E-4																		
45,550	-0,37	0,008	182,200	-0,24	9,396E-4	182,200	-0,22	8,898E-4																		
45,575	-0,29	-0,007	182,300	-0,24	9,467E-4	182,300	-0,25	8,983E-4																		
45,600	-0,34	0,008	182,400	-0,25	9,093E-4	182,400	-0,23	8,674E-4																		
45,625	-0,34	-0,007	182,500	-0,24	9,032E-4	182,500	-0,23	8,574E-4																		
45,650	-0,31	0,009	182,600	-0,24	9,480E-4	182,600	-0,23	9,077E-4																		
45,675	-0,36	-0,007	182,700	-0,24	0,001	182,700	-0,24	8,546E-4																		
45,700	-0,33	0,008	182,800	-0,25	9,684E-4	182,800	-0,24	8,789E-4																		
45,725	-0,30	-0,007	182,900	-0,24	9,409E-4	182,900	-0,23	8,577E-4																		
45,750	-0,34	0,008	183,000	-0,24	9,020E-4	183,000	-0,24	8,661E-4																		
45,775	-0,33	-0,008	183,100	-0,25	9,446E-4	183,100	-0,24	9,188E-4																		
45,800	-0,33	0,007	183,200	-0,24	9,263E-4	183,200	-0,23	8,643E-4																		
45,825	-0,36	-0,008	183,300	-0,24	9,347E-4	183,300	-0,24	8,837E-4																		
45,850	-0,29	0,007	183,400	-0,24	9,342E-4	183,400	-0,24	8,933E-4																		
45,875	-0,32	-0,007	183,500	-0,25	8,828E-4	183,500	-0,24	8,722E-4																		
45,900	-0,37	0,009	183,600	-0,24	9,519E-4	183,600	-0,23	8,877E-4																		
45,925	-0,32	-0,007	183,700	-0,24	9,645E-4	183,700	-0,24	9,047E-4																		
45,950	-0,34	0,009	183,800	-0,25	9,493E-4	183,800	-0,24	8,562E-4																		
45,975	-0,34	-0,004	183,900	-0,24	9,852E-4	183,900	-0,24	8,606E-4																		
46,000	-0,27	0,016	184,000	-0,24	9,519E-4	184,000	-0,24	8,668E-4																		
46,025	-0,32	-0,004	184,100	-0,24	9,044E-4	184,100	-0,24	8,579E-4																		
46,050	-0,38	0,009	184,200	-0,24	9,031E-4	184,200	-0,23	8,076E-4																		
46,075	-0,32	-0,008	184,300	-0,24	8,815E-4	184,300	-0,23	8,682E-4																		
46,100	-0,33	0,008	184,400	-0,24	9,310E-4	184,400	-0,24	8,489E-4																		
46,125	-0,36	-0,008	184,500	-0,24	9,147E-4	184,500	-0,24	8,007E-4																		
46,150	-0,28	0,008	184,600	-0,24	9,196E-4	184,600	-0,24	8,173E-4																		
46,175	-0,34	-0,008	184,700	-0,24	9,669E-4	184,700	-0,23	8,352E-4																		
46,200	-0,39	0,008	184,800	-0,25	9,233E-4	184,800	-0,24	8,328E-4																		
46,225	-0,30	-0,009	184,900	-0,24	9,116E-4	184,900	-0,24	8,666E-4																		
46,250	-0,33	0,008	185,000	-0,24	9,373E-4	185,000	-0,23	8,558E-4																		
46,275	-0,34	-0,009	185,100	-0,24	9,615E-4	185,100	-0,24	8,579E-4																		
46,300	-0,29	0,008	185,200	-0,24	9,252E-4	185,200	-0,23	8,606E-4																		
46,325	-0,37	-0,008	185,300	-0,24	8,834E-4	185,300	-0,24	8,694E-4																		
46,350	-0,36	0,009	185,400	-0,24	9,325E-4	185,400	-0,23	8,596E-4																		
46,375	-0,28	-0,007	185,500	-0,25	9,076E-4	185,500	-0,23	8,479E-4																		
46,400	-0,35	0,009	185,600	-0,24	9,479E-4	185,600	-0,24	8,444E-4																		
46,425	-0,34	-0,008	185,700	-0,25	9,244E-4	185,700	-0,23	8,535E-4																		
46,450	-0,30	0,008	185,800	-0,24	9,120E-4	185,800	-0,24	8,177E-4																		
46,475	-0,37	-0,009	185,900	-0,25	9,536E-4	185,900	-0,23	8,145E-4																		
46,500	-0,33	0,007	186,000	-0,24	9,532E-4	186,000	-0,24	8,402E-4																		
46,525	-0,30	-0,011	186,100	-0,25	9,648E-4	186,100	-0,24	8,546E-4																		
46,550	-0,35	0,007	186,200	-0,24	9,271E-4	186,200	-0,23	8,777E-4																		
46,575	-0,30	-0,010	186,300	-0,24	9,468E-4	186,300	-0,24	8,446E-4																		
46,600	-0,35	0,009	186,400	-0,24	9,137E-4	186,400	-0,23	8,489E-4																		
46,625	-0,38	-0,008	186,500	-0,24	9,407E-4	186,500	-0,24	8,866E-4																		
46,650	-0,29	0,010	186,600	-0,24	9,365E-4	186,600	-0,23	8,649E-4																		
46,675	-0,36	-0,007	186,700	-0,24	8,876E-4	186,700	-0,24	8,865E-4																		
46,700	-0,31	0,012	186,800	-0,24	8,783E-4	186,800	-0,24	8,958E-4																		
46,725	-0,28	-0,005	186,900	-0,24	8,580E-4	186,900	-0,24	8,728E-4																		
46,750	-0,41	0,011	187,000	-0,24	8,771E-4	187,000	-0,23	8,370E-4																		
46,775	-0,35	-0,008	187,100	-0,24	9,026E-4	187,100	-0,23	8,868E-4																		
46,800	-0,29	0,009	187,200	-0,24	8,716E-4	187,200	-0,24	8,484E-4																		
46,825	-0,37	-0,009	187,300	-0,24	9,069E-4	187,300	-0,23	8,717E-4																		
46,850	-0,30	0,008	187,400	-0,24	8,934E-4	187,400	-0,24	8,545E-4																		
46,875	-0,30	-0,010	187,500	-0,24	9,354E-4	187,500	-0,24	8,403E-4																		
46,900	-0,41	0,009	187,600	-0,24	8,939E-4	187,600	-0,24	9,001E-4																		
46,925	-0,31	-0,009	187,700	-0,24	9,132E-4	187,700	-0,23	8,829E-4																		
46,950	-0,30	0,008	187,800	-0,24	9,135E-4	187,800	-0,23	8,706E-4																		
46,975	-0,37	-0,009	187,900	-0,24	8,997E-4	187,900	-0,24	8,984E-4																		
47,000	-0,28	0,010	188,000	-0,24	9,281E-4	188,000	-0,24	8,468E-4																		
47,025	-0,36	-0,008	188,100	-0,24	9,291E-4	188,100	-0,23	8,763E-4																		
47,050	-0,39	0,010	188,200	-0,24	9,150E-4	188,200	-0,23	8,169E-4																		
47,075	-0,27	-0,007	188,300	-0,24	9,008E-4	188,300	-0,24	8,564E-4																		
47,100	-0,34	0,011	188,400	-0,24	9,082E-4	188,400	-0,23	9,033E-4																		
47,125	-0,35	-0,007	188,500	-0,24	9,323E-4	188,500	-0,24	8,815E-4																		
47,150	-0,29	0,010	188,600	-0,24	9,247E-4	188,600	-0,25	9,120E-4																		
47,175	-0,38	-0,008	188,700	-0,24	9,381E-4	188,700	-0,23	8,625E-4																		
47,200	-0,35	0,009	188,800	-0,24	9,258E-4	188,800	-0,23	8,696E-4																		
47,225	-0,27	-0,010	188,900	-0,24	9,032E-4	188,900	-0,23	8,871E-4																		
47,250	-0,36	0,007	189,000	-0,24	8,810E-4	189,000	-0,24	8,702E-4																		
47,275	-0,33	-0,009	189,100	-0,25	8,606E-4	189,100	-0,24	8,776E-4																		
47,300	-0,32	0,009	189,200	-0,23	8,716E-4	189,200	-0,23	8,446E-4																		
47,325	-0,39	-0,009	189,300	-0,24	9,044E-4	189,300	-0,24	8,448E-4																		
47,350	-0,30	0,009	189,400	-0,24	8,951E-4	189,400	-0,23	8,584E-4																		
47,375	-0,31	-0,008	189,500	-0,24	9,196E-4	189,500	-0,24	8,408E-4																		
47,400	-0,37	0,009	189,600	-0,24	8,917E-4	189,600	-0,24	8,379E-4																		
47,425	-0,31	-0,008	189,700	-0,24	8,990E-4	189,700	-0,24	8,398E-4																		
47,450	-0,35	0,009	189,800	-0,25	8,916E-4	189,800	-0,23	8,926E-4																		
47,475	-0,35	-0,007	189,900	-0,24	9,114E-4	189,900	-0,23	8,890E-4																		
47,500	-0,28	0,010	190,000	-0,24	9,114E-4	190,000	-0,24	9,213E-4																		
47,525	-0,34	-0,007	190,100	-0,24	9,039E-4	190,100	-0,24	8,956E-4																		
47,550	-0,35	0,009	190,200	-0,24	9,236E-4	190,200	-0,24	9,332E-4																		
47,575	-0,31	-0,008	190,300	-0,25	9,342E-4	190,300	-0,24	8,567E-4																		
47,600	-0,36	0,008	190,400	-0,24	8,693E-4	190,400	-0,23	8,571E-4																		
47,625	-0,33	-0,008	190,500	-0,25	9,071E-4	190,500	-0,23	8,821E-4																		
47,650	-0,28	0,008	190,600	-0,24	9,312E-4	190,600	-0,23	8,890E-4																		
47,675	-0,37	-0,008	190,700	-0,24	9,237E-4	190,700	-0,24	8,840E-4																		
47,700	-0,33	0,008	190,800	-0,24	9,607E-4	190,800	-0,24	9,088E-4																		
47,725	-0,33	-0,008	190,900	-0,24	9,749E-4	190,900	-0,24	8,777E-4																		
47,750	-0,37	0,008	191,000	-0,24	9,438E-4	191,000	-0,23	8,783E-4																		
47,775	-0,29	-0,008	191,100	-0,25	9,005E-4	191,100	-0,23	8,802E-4																		
47,800	-0,32	0,008	191,200	-0,22	8,973E-4	191,200	-0,24	9,164E-4																		
47,825	-0,36	-0,008	191,300	-0,27	9,301E-4	191,300	-0,24	8,773E-4																		
47,850	-0,30	0,008	191,400	-0,23	9,070E-4	191,400	-0,23	8,656E-4																		
47,875	-0,37	-0,008	191,500	-0,25	9,321E-4	191,500	-0,24	8,743E-4																		
